Exp,GazeP,Impf,DisType,Para,mean,HDI_low,HDI_high
S12,Glabella,Con,Bernoulli(Choice),Type,-1.9863901599826879,-3.1189993778378486,-0.8525272011795472
S12,Glabella,Con,Beta(Weight),Type,-0.62568228307084,-0.7521780555019879,-0.4960223390281797
S12,Forehead,Agr,Bernoulli(Choice),Type,5.662369078873686,0.5266994524668895,11.06163664587195
S12,Forehead,Agr,Beta(Weight),Type,-0.3201454908757369,-0.406130726864694,-0.2326925177764228
S12,Forehead,Neu,Bernoulli(Choice),Type,3.139866745318201,0.7960342959178489,5.867969282049171
S12,Forehead,Neu,Beta(Weight),Type,-0.37869135213398253,-0.45875496131367727,-0.29896941780457026
S12,Forehead,Ext,Bernoulli(Choice),Type,6.060425678811045,1.765028660039756,11.268241607632657
S12,Forehead,Ext,Beta(Weight),Type,-0.2633878424114195,-0.34164672770494126,-0.18407175842208126
S12,Forehead,Ope,Bernoulli(Choice),Type,1.4564231517230306,0.23961639190180994,2.6242894649595985
S12,Forehead,Ope,Beta(Weight),Type,-0.29929128758821394,-0.3862552262228304,-0.22320884848623557
S12,Forehead,Con,Bernoulli(Choice),Type,6.341321906575473,1.1551260634074019,11.880280616382533
S12,Forehead,Con,Beta(Weight),Type,-0.34514387434469135,-0.4242633236600679,-0.26494540912800263
S12,Eyebrow,Agr,Bernoulli(Choice),Type,1.7317724737869824,-0.5367803727614893,4.45561383071501
S12,Eyebrow,Agr,Beta(Weight),Type,-0.2515192980513578,-0.3595426958243642,-0.15398783832343962
S12,Eyebrow,Neu,Bernoulli(Choice),Type,5.371630770338983,0.8609798100442849,10.322815070514741
S12,Eyebrow,Neu,Beta(Weight),Type,-0.3853776767844255,-0.48976635421245035,-0.2876484540288712
S12,Eyebrow,Ext,Bernoulli(Choice),Type,5.102767704687783,0.8105727433089709,10.29371203742803
S12,Eyebrow,Ext,Beta(Weight),Type,-0.13433637701923257,-0.24471975735524512,-0.028399687780059663
S12,Eyebrow,Ope,Bernoulli(Choice),Type,5.293305955266509,1.2418572140233517,9.758794914956864
S12,Eyebrow,Ope,Beta(Weight),Type,-0.09857161304719081,-0.20717417637094843,7.251035727362512e-4
S12,Eyebrow,Con,Bernoulli(Choice),Type,5.191456431726391,0.2667273412214894,10.996808720759775
S12,Eyebrow,Con,Beta(Weight),Type,-0.3255127673208197,-0.42993507488425625,-0.22275913175663012
S12,Eye,Agr,Bernoulli(Choice),Type,-0.9085924913278236,-2.443310007348341,0.6498737621347175
S12,Eye,Agr,Beta(Weight),Type,-0.6149871360164303,-0.7159356019629882,-0.5152755749568361
S12,Eye,Neu,Bernoulli(Choice),Type,0.41217851567589164,-0.9605990663362592,1.8398222168056648
S12,Eye,Neu,Beta(Weight),Type,-0.8130344255900305,-0.9115081538136373,-0.7148666077670714
S12,Eye,Ext,Bernoulli(Choice),Type,-0.881665486685237,-3.7334439734492344,1.700883360231014
S12,Eye,Ext,Beta(Weight),Type,-0.6024278345056135,-0.6928026079191704,-0.49883512685747483
