Exp,AOI,Imp,Zero_Prop,Model,CRPS,RMSE,MAE
S12,GazeEB,Ext,0.005037783375314861,Logit_LMM,0.0018387532127343,0.0037841102450737133,0.002798569872267107
S12,GazeEB,Ext,0.005037783375314861,Freq_HB,0.0020696092979917207,0.004361365196338003,0.003012615424755546
S12,GazeEB,Ope,0.010025062656641603,Bayes_HB,0.0016108791347238978,0.003461127254450781,0.0024093305293573794
S12,GazeEB,Ope,0.010025062656641603,Bayes_Beta,0.0016764390988458571,0.0034490732074436495,0.0025981819774178595
S12,GazeEB,Ope,0.010025062656641603,Logit_LMM,0.0017565893731449418,0.003576198105718268,0.0027182157790008495
S12,GazeEB,Ope,0.010025062656641603,Freq_HB,0.0019956624339863894,0.004250196193608859,0.002896857239400546
S12,GazeEB,Con,0.0025252525252525255,Bayes_HB,0.002110406840929375,0.004691923165512784,0.0030132041774376503
S12,GazeEB,Con,0.0025252525252525255,Bayes_Beta,0.002159579383724959,0.004659885000072655,0.003201926882603424
S12,GazeEB,Con,0.0025252525252525255,Logit_LMM,0.002195287587591441,0.004742490874720278,0.0032971974381567535
S12,GazeEB,Con,0.0025252525252525255,Freq_HB,0.002571918452707427,0.005534150259459108,0.0037181107271674796
S12,GazeEY,Agr,0.010075566750629723,Bayes_HB,0.002975082723822021,0.006165538811838892,0.004364188078062969
S12,GazeEY,Agr,0.010075566750629723,Bayes_Beta,0.003009182235907688,0.0061527471300111365,0.004541219962421228
S12,GazeEY,Agr,0.010075566750629723,Logit_LMM,0.0030359111015231823,0.006185973301495187,0.004576041498883638
S12,GazeEY,Agr,0.010075566750629723,Freq_HB,0.003460600554045839,0.007075269550563007,0.005098000129774118
S12,GazeEY,Neu,0.011421319796954314,Bayes_HB,0.002763623380684793,0.005552569810439864,0.004078744111547888
S12,GazeEY,Neu,0.011421319796954314,Bayes_Beta,0.002824894581703372,0.0056261170798149055,0.004294093057652863
S12,GazeEY,Neu,0.011421319796954314,Logit_LMM,0.0029140248342799406,0.00572836151180915,0.004402401368980589
S12,GazeEY,Neu,0.011421319796954314,Freq_HB,0.0035122421762769983,0.007088435034437383,0.005130168823316331
S12,GazeEY,Ext,0.0025188916876574307,Bayes_HB,0.0024204409151063386,0.004795369527686697,0.00357226049822602
S12,GazeEY,Ext,0.0025188916876574307,Bayes_Beta,0.0024459411232918143,0.004797500525122452,0.003709818181859082
S12,GazeEY,Ext,0.0025188916876574307,Logit_LMM,0.00252091926390053,0.004909869114215981,0.003840834454893057
S12,GazeEY,Ext,0.0025188916876574307,Freq_HB,0.002827792376170426,0.005675146350938223,0.004113326870278718
S12,GazeEY,Ope,0.0037593984962406013,Bayes_HB,0.002546081896017426,0.005192659050721912,0.0037401101910460068
S12,GazeEY,Ope,0.0037593984962406013,Bayes_Beta,0.002588630539507817,0.005222838497320449,0.003910550084478394
S12,GazeEY,Ope,0.0037593984962406013,Logit_LMM,0.0025928190531819234,0.005211891368133017,0.003967249555224687
S12,GazeEY,Ope,0.0037593984962406013,Freq_HB,0.002774708290143714,0.005681925439042687,0.004036621860260351
S12,GazeEY,Con,0.005050505050505051,Bayes_HB,0.0027788242628196446,0.00556937691726173,0.004007310894480166
S12,GazeEY,Con,0.005050505050505051,Bayes_Beta,0.002824266229913508,0.005613619574361949,0.004199175358859157
S12,GazeEY,Con,0.005050505050505051,Logit_LMM,0.002929866751831063,0.005720244915794443,0.0043314082707098175
S12,GazeEY,Con,0.005050505050505051,Freq_HB,0.00339996248573063,0.006798902092563232,0.004955981463761389
S12,GazeNO,Agr,0.028967254408060455,Bayes_HB,0.0013091127512012005,0.0029173768166475137,0.0018814229292843446
S12,GazeNO,Agr,0.028967254408060455,Bayes_Beta,0.00138375355146863,0.0029563617400147073,0.0020977786836112785
S12,GazeNO,Agr,0.028967254408060455,Logit_LMM,0.0014828301980343624,0.003090094440781627,0.0022410505557438664
S12,GazeNO,Agr,0.028967254408060455,Freq_HB,0.0015319811720353083,0.003340410281205538,0.0021757449158508165
S12,GazeNO,Neu,0.05203045685279188,Bayes_HB,0.0010339045703523515,0.0021599026752745784,0.001546604627591133
S12,GazeNO,Neu,0.05203045685279188,Bayes_Beta,0.0011509458905425863,0.002275745255931432,0.0018102887040441428
S12,GazeNO,Neu,0.05203045685279188,Logit_LMM,0.0012587612681812267,0.002362611190431073,0.0019217237437548038
S12,GazeNO,Neu,0.05203045685279188,Freq_HB,0.0012585118903993226,0.0025521181349960433,0.001862031565537257
S12,GazeNO,Ext,0.041561712846347604,Bayes_HB,0.001128684974472348,0.0024226480697278696,0.0016713995467133064
S12,GazeNO,Ext,0.041561712846347604,Bayes_Beta,0.0012401240686614142,0.0025332444046967098,0.0019266878502493515
S12,GazeNO,Ext,0.041561712846347604,Logit_LMM,0.0013475343936716535,0.0026401955800491165,0.0020492933717039404
S12,GazeNO,Ext,0.041561712846347604,Freq_HB,0.0014102771735817372,0.0029794333427122853,0.002037248911934309
S12,GazeNO,Ope,0.042606516290726815,Bayes_HB,0.00116895815679605,0.00245322833676181,0.0016777695879839664
S12,GazeNO,Ope,0.042606516290726815,Bayes_Beta,0.0012577501520883508,0.002539442194570691,0.0019156528650353555
S12,GazeNO,Ope,0.042606516290726815,Logit_LMM,0.0013675035882688492,0.002660057402902994,0.002067103857365402
S12,GazeNO,Ope,0.042606516290726815,Freq_HB,0.0014373470695946905,0.0028937434876335315,0.002044046216247325
S12,GazeNO,Con,0.06439393939393939,Bayes_HB,0.001176778831982682,0.0024289871500675587,0.0017544783579480252
S12,GazeNO,Con,0.06439393939393939,Bayes_Beta,0.0012852548532145823,0.002519707547535557,0.001995869704788122
S12,GazeNO,Con,0.06439393939393939,Logit_LMM,0.0013860797324974808,0.002607863952624003,0.0021057110624800954
S12,GazeNO,Con,0.06439393939393939,Freq_HB,0.0014112796835635995,0.0028104794909683734,0.0020727010897629563
S12,GazeMO,Agr,0.6574307304785895,Bayes_HB,4.7573726965390603e-4,0.001584207353951209,8.098337737007584e-4
S12,GazeMO,Agr,0.6574307304785895,Bayes_Beta,8.771332584240232e-4,0.0018168679787442037,0.0014200134415473988
S12,GazeMO,Agr,0.6574307304785895,Logit_LMM,0.0011010039785478087,0.0018344775095443637,0.0014801132762375744
S12,GazeMO,Agr,0.6574307304785895,Freq_HB,5.786943205775489e-4,0.0017846471297688453,0.0012067246721592264
S12,GazeMO,Neu,0.6408629441624365,Bayes_HB,5.141088013152538e-4,0.0016514263886339199,8.561482335344981e-4
S12,GazeMO,Neu,0.6408629441624365,Bayes_Beta,9.059728348374868e-4,0.0018837642821721823,0.001476636049899704
S12,GazeMO,Neu,0.6408629441624365,Logit_LMM,0.0011227570659726616,0.0019050020967460374,0.0015238089245774038
S12,GazeMO,Neu,0.6408629441624365,Freq_HB,6.956968762459613e-4,0.0019707988812356332,0.0013696170432479862
S12,GazeMO,Ext,0.5994962216624685,Bayes_HB,5.459420420557457e-4,0.0017076496954233369,9.13342573565184e-4
S12,GazeMO,Ext,0.5994962216624685,Bayes_Beta,9.005432879612294e-4,0.0018948447321456997,0.0014585563573980835
S12,GazeMO,Ext,0.5994962216624685,Logit_LMM,0.0011099828031107897,0.0019170103232877137,0.0015198367669959098
S12,GazeMO,Ext,0.5994962216624685,Freq_HB,6.622891321345106e-4,0.0019033327323704167,0.0011561251141999746
S12,GazeMO,Ope,0.5977443609022557,Bayes_HB,4.5935712188716814e-4,0.0012786317845259044,7.801644733647359e-4
S12,GazeMO,Ope,0.5977443609022557,Bayes_Beta,8.141876041426765e-4,0.0015355832697900918,0.0013356351462870994
