Exp,AOI,Imp,Parameter,Estimate_Original,Rhat_Original,Estimate_Diffuse,Rhat_Diffuse
S12,GazeEY,Ope,Bernoulli Slope,-0.07607527111417708,1.009197217154705,-0.5764675497148849,1.032353794289181
S12,GazeEY,Ope,Beta Slope,-0.4940952303502013,1.009197217154705,-0.4962873313756463,1.032353794289181
S12,GazeEY,Con,Bernoulli Slope,1.8200207725816528,1.0076056474817283,1.5838685454304005,1.1499279770651227
S12,GazeEY,Con,Beta Slope,-0.7613061895698409,1.0076056474817283,-0.7674188592234548,1.1499279770651227
S12,GazeNO,Agr,Bernoulli Slope,-0.6602711529991522,1.0030474513050724,-0.7370322412171807,1.0063061149259098
S12,GazeNO,Agr,Beta Slope,-0.71311392470647,1.0030474513050724,-0.7239005307847852,1.0063061149259098
S12,GazeNO,Neu,Bernoulli Slope,0.35933488830182087,1.0110407096743828,0.3522190327036501,1.018770312044776
S12,GazeNO,Neu,Beta Slope,-0.4636301369745093,1.0110407096743828,-0.47725585743542803,1.018770312044776
S12,GazeNO,Ext,Bernoulli Slope,-0.4546251152379637,1.008030397457062,-0.49786886729205304,1.006909577498295
S12,GazeNO,Ext,Beta Slope,-0.5584381804813585,1.008030397457062,-0.5706051482001906,1.006909577498295
S12,GazeNO,Ope,Bernoulli Slope,-0.8522875764564575,1.0153700676622102,-0.8964576525310762,1.0112295814707395
S12,GazeNO,Ope,Beta Slope,-0.5734254837396593,1.0153700676622102,-0.5837678794771024,1.0112295814707395
S12,GazeNO,Con,Bernoulli Slope,0.28992821164348587,1.007056996203738,0.281929179183192,1.0077629079593102
S12,GazeNO,Con,Beta Slope,-0.49273112503095023,1.007056996203738,-0.5021299070982295,1.0077629079593102
S12,GazeMO,Agr,Bernoulli Slope,0.8371392430674214,1.011148275252525,0.8486197386591116,1.0100136639108892
S12,GazeMO,Agr,Beta Slope,-0.2658331979097189,1.011148275252525,-0.2677985472587092,1.0100136639108892
S12,GazeMO,Neu,Bernoulli Slope,0.5738814411800099,1.0071664907684899,0.5865558263123621,1.010938769728409
S12,GazeMO,Neu,Beta Slope,-0.38509188916555664,1.0071664907684899,-0.39873626982457494,1.010938769728409
S12,GazeMO,Ext,Bernoulli Slope,0.3046069954384141,1.0044764511724873,0.3123675219565788,1.0068169177505182
S12,GazeMO,Ext,Beta Slope,-0.13031231385333159,1.0044764511724873,-0.13636268966737858,1.0068169177505182
S12,GazeMO,Ope,Bernoulli Slope,0.734964438422005,1.0097428904440189,0.7487894159917485,1.0070466884776015
S12,GazeMO,Ope,Beta Slope,-0.2843626357230886,1.0097428904440189,-0.3064870959980448,1.0070466884776015
S12,GazeMO,Con,Bernoulli Slope,0.5814378016481573,1.0128051771508129,0.5845129338239927,1.0048285243023753
S12,GazeMO,Con,Beta Slope,-0.3187707848169873,1.0128051771508129,-0.3272421462596893,1.0048285243023753
