participant,expName,picname,key_resp_2.keys,key_resp_confi.keys,age,gender,Ext,Agr,Con,Neu,Ope,Valp,GazeGL,GazeFH,GazeEB,GazeEY,GazeNO,GazeMO,MouseGL,MouseFH,MouseEB,MouseEY,MouseNO,MouseMO
Subj40,inferExpPartS8,ConF4.png,3,5,20,Male,4,5,2.5,5.5,4.5,1,0.00587558192643424,0.0027147768686382,2.796191801833137e-4,0.00723353359718142,0.012167700644482,0,0.01264446049094156,0.00520196490342943,0.00519224154697067,0.01510897583519669,0.00307251080739793,0
Subj40,inferExpPartS8,ExtF2.png,4,5,20,Male,4,5,2.5,5.5,4.5,1,0.00307623633659711,0.00566357291835306,5.80340756163374e-4,0.01858393847960702,0.00851457512146488,0,0.01580655307051732,0.00342949653470737,0.01442764775088956,0.00474304342198287,3.348803722858398e-7,0
Subj40,inferExpPartS8,ExtF5.png,3,5,20,Male,4,5,2.5,5.5,4.5,1,0.00910373763530086,0.00554083958739409,3.181422025649723e-5,0.00767185065405121,0.00679361403467588,0,0.00375686066284737,0.00359631760830315,6.044872050956286e-4,0.00992675532178271,6.564428586029366e-4,0
Subj40,inferExpPartS8,ExtF4.png,6,6,20,Male,4,5,2.5,5.5,4.5,0.943127962085308,0.0065254364558583,0.00585904515087797,0.00257380017860648,0.00494170136955534,0.00716930877523372,0,0.00802694707915523,0.0031706789425815,0.00236702486507886,0.00210465523318661,4.3982402465055906e-4,0
Subj40,inferExpPartS8,OpeM1.png,4,5,20,Male,4,5,2.5,5.5,4.5,1,0.0044568650979958,0.00189028640905396,1.009496121888603e-4,1.5518219772392745e-4,0.01167858659962538,0,4.259089788677199e-5,0.00162729896074042,0.00178954161676404,0.003283067036369,0.00224314700958259,0
Subj40,inferExpPartS8,AgrM2.png,3,5,20,Male,4,5,2.5,5.5,4.5,1,0.01506943615331607,0.00225015854559137,7.204720128649861e-4,0.00223363224713428,0.01181303812961116,0,0.00276055206457402,0.00170416533293968,0.00458271718028826,0.00575329884891082,0.00177453981073587,0
Subj40,inferExpPartS8,AgrM5.png,3,5,20,Male,4,5,2.5,5.5,4.5,0.7559241706161137,0.00312626927570209,0.00199314874107163,3.560672310535019e-4,0.01068816518663851,0.00207459496666514,0,0.00786850360585639,9.660889389523324e-4,9.176290206176746e-4,0.0056273827915493,0.00124855653550261,0
Subj40,inferExpPartS8,ExtM3.png,3,5,20,Male,4,5,2.5,5.5,4.5,0.8104265402843602,0.00338656690104381,0.00125990240598912,6.640593541979451e-4,9.561697500934606e-5,0.00780220514876518,0,0.01079433453535394,0.00167510770065848,0.00207300246277959,0.0017846746036069,0.00155212823039881,0
Subj40,inferExpPartS8,OpeM5.png,3,6,20,Male,4,5,2.5,5.5,4.5,1,5.650309079499735e-4,0.0030579222372256,9.090895824547992e-5,0.00604810406914454,0.0093359967108524,0,0.00978208383357627,0.00258531876996378,0.00203270028890917,0.00550927108785796,7.014063422353974e-4,0
Subj40,inferExpPartS8,NeuM1.png,3,5,20,Male,4,5,2.5,5.5,4.5,1,0.00602209464089801,0.00443100505672149,0.00118352896586039,0.00233497090412596,0.01413705930687805,0,8.41094165850945e-4,0.00326547403497805,0.00209001140067275,0.00919414793653013,0.00121272364576409,0
Subj40,inferExpPartS8,OpeF5.png,6,6,20,Male,4,5,2.5,5.5,4.5,1,0.01390618544118037,5.521387856366899e-4,3.410300219379979e-5,4.652284722331905e-5,0.01908976744304673,0,0.02682910525665657,0.00314895220536513,0.00252018041198046,0.00504524521404918,0.00414700376506351,0
Subj40,inferExpPartS8,OpeM3.png,5,6,20,Male,4,5,2.5,5.5,4.5,0.5616113744075829,5.83185972319319e-4,5.285041438690859e-4,3.7731179035822735e-6,0.00216966174526081,0.00783275212453646,0,0.00763446620918421,0.00461975365039737,0.00192257104838311,0.00963632967662122,0.0031610715624609,0
Subj40,inferExpPartS8,OpeM2.png,3,5,20,Male,4,5,2.5,5.5,4.5,1,9.478718509010232e-4,0.00175647157188261,1.401218505054994e-4,0.00201518315828066,0.01613710054336069,0,0.02863906749483416,0.00189689314975041,0.00240908236937669,0.00789508803671989,0.00212141858534906,0
Subj40,inferExpPartS8,AgrF2.png,4,5,20,Male,4,5,2.5,5.5,4.5,0.8554502369668247,0.02192426808947789,0.0036848428718856,1.156857698502362e-5,4.2472910937129185e-4,0.00484379177266957,0,0.00941793311532338,0.00560984321115227,8.401749595882715e-4,0.00804504049691692,0.00283866232474377,0
Subj40,inferExpPartS8,OpeF4.png,5,5,20,Male,4,5,2.5,5.5,4.5,1,0.01029386476495438,0.00417156281518598,8.340151027184834e-5,0.01777659260590125,0.00781549726328326,0,0.01603571911507333,0.00386219296359363,0.00686700073671858,0.01394017620951374,0.00118247286028218,0
Subj40,inferExpPartS8,ExtM1.png,3,5,20,Male,4,5,2.5,5.5,4.5,1,0.00810819578672946,0.00298450187238826,2.5769612865054385e-4,0.00242444467548039,0.00876733692983488,0,0.00242792187775812,0.00193445470002388,7.796040611302932e-4,0.00419969564436501,0.00103127178071119,0
Subj40,inferExpPartS8,ConF2.png,3,5,20,Male,4,5,2.5,5.5,4.5,1,0.00476561277990436,0.00199535071772464,8.09877511307433e-5,0.00847098142437023,0.00848085876079979,0,0.00529497181362356,0.00277066188481395,0.00364274808699504,0.008032991142139,0.00171162295778454,0
Subj40,inferExpPartS8,ExtM4.png,5,6,20,Male,4,5,2.5,5.5,4.5,1,0.01963981447676898,0.00220936774962824,5.363472522761565e-4,0.00164119793867637,0.01332291597251389,0,0.00312257142456178,0.00187760783131982,0.00477853889278313,0.00486488087446987,0.00111515467728547,0
Subj40,inferExpPartS8,NeuM3.png,3,5,20,Male,4,5,2.5,5.5,4.5,1,0.00355266288626017,0.00249296244268264,6.038442949446476e-4,0.00556784439070078,0.01087558275941869,0,0.00665518555137848,0.00148016563100963,0.00197747015678378,0.00930480414351295,6.878694579874753e-4,0
Subj40,inferExpPartS8,NeuF5.png,6,6,20,Male,4,5,2.5,5.5,4.5,1,8.626168844458903e-4,0.00289340930962184,2.0934510254302276e-4,0.02149395014871459,0.00869745102559719,0,0.00286028348974184,0.00145269931943313,0.00590143553640247,0.00758371254217246,1.388995911030773e-4,0
Subj40,inferExpPartS8,AgrM1.png,7,6,20,Male,4,5,2.5,5.5,4.5,1,0.02510176770752019,0.00231739546386285,0.00264478252971865,0.03097703960915875,0.00873982934814543,0,0.00214454869782747,0.00249152708079478,0.00564726638053912,0.00632333421269229,8.423721416292447e-4,0
Subj40,inferExpPartS8,OpeF1.png,4,5,20,Male,4,5,2.5,5.5,4.5,1,0.01837890152753342,0.00208052408069581,0.0055054972922432,0.02430964377199925,0.00286074723507478,0,0.00489849225745539,0.00195208462390685,0.00440251685949695,0.00428088711996304,6.478275703560307e-5,0
Subj40,inferExpPartS8,ConM5.png,6,6,20,Male,4,5,2.5,5.5,4.5,1,0.00801873086244942,0.00344514909494354,0.00663267524425762,0.02388816044042243,0.00569542310135009,6.128189426252307e-4,0.00328368194694483,0.00317379570691144,0.00383282342677585,0.00108694282724496,1.4284382530227105e-4,0.00103827594852838
Subj40,inferExpPartS8,AgrF4.png,6,6,20,Male,4,5,2.5,5.5,4.5,1,0.01508802134595522,0.00117242975625247,0.00521703488678564,0.00322949503958444,0.00801031787551554,0,0.00108416437012451,0.00326488799775165,0.00106758758622685,0.01242823700441914,8.153613878626311e-4,0
Subj40,inferExpPartS8,AgrM3.png,5,5,20,Male,4,5,2.5,5.5,4.5,1,0.0192653311075896,0.00219181134642705,0.01100110811051648,0.01862452617515594,0.00659699378343048,0,2.4408364635006665e-4,0.00959023692342013,6.018068578359034e-4,0,0,0
Subj40,inferExpPartS8,NeuM2.png,3,3,20,Male,4,5,2.5,5.5,4.5,1,0.00515773171367872,0.00431382936814083,2.081813405487804e-4,0.00191156559932262,0.01747003209738319,0,0.00128311873192656,0.00530860331003298,0.00521833629683982,0.01738442202399942,0.00219276186615545,0
Subj40,inferExpPartS8,AgrF3.png,5,5,20,Male,4,5,2.5,5.5,4.5,1,0.00435502233338706,0.00153945011183081,0.00484185343194562,0.01769604490552931,0.00964634113528082,0,0.002589110031153,0.00548755286308822,0.0055448592575896,0.01685291486522163,0.00329026451072183,0
Subj40,inferExpPartS8,ConM4.png,5,5,20,Male,4,5,2.5,5.5,4.5,1,0.02075694487244771,5.380336817798919e-4,0.00177111327417702,0.03226145298829328,0.00610172996964906,0,0.00861914096381167,0.00215755912982124,0.009391452714053,0.02027949218373394,5.657431523015266e-4,0
Subj40,inferExpPartS8,OpeM4.png,3,5,20,Male,4,5,2.5,5.5,4.5,1,0.01704331270892441,0.00293312689397925,4.101801195188966e-5,0.00433971221936112,0.00803716648854245,0,0.00560791336806067,0.00383819833239818,0.00203816896122444,0.0199495704583763,0.00317874058239967,0
Subj40,inferExpPartS8,AgrF5.png,3,5,20,Male,4,5,2.5,5.5,4.5,0.9691943127962084,0.0131434080788852,8.815885865058661e-4,9.217523192842011e-4,0.00825369771656358,0.01020297039063052,0,0.00277470560259962,0.00368636177847762,0.00276266799731588,0.00438179334386625,0.00139474775975609,0
Subj40,inferExpPartS8,ConM1.png,3,5,20,Male,4,5,2.5,5.5,4.5,1,0.00336306850413622,0.00211339266240833,1.8254833465782328e-4,0.01803136226993717,0.01286485884457988,0,0.00162981065252293,0.00152890829455491,0.00340979924887459,0.00682486420181525,0.00222577720765604,0
Subj40,inferExpPartS8,ExtF3.png,5,6,20,Male,4,5,2.5,5.5,4.5,1,0.00405879820082134,0.00272150874013479,0.00116318281231991,0.03258633724372709,0.00345804686601813,0,0.00388963560492091,0.00286920642752014,0.01043471677730636,0.00331475949791429,4.513054192441283e-4,0
Subj40,inferExpPartS8,ConF5.png,5,5,20,Male,4,5,2.5,5.5,4.5,1,0.02121421648244499,0.0010684319660555,2.6243945286729114e-4,0.02055477538163806,0.01045762587325659,0,0.00333825043042548,0.00185716831144229,0.00497608032924139,0.00788879338795795,0.00103241744794138,0
Subj40,inferExpPartS8,ExtF1.png,5,5,20,Male,4,5,2.5,5.5,4.5,1,0.02832418375975391,0.00130427463786556,1.7920681777091344e-4,0.01970666497056619,0.0042056597292302,0,0.00216754710831105,0.0027027356747761,0.00350195304315044,0.0055588320146142,2.838265412131694e-4,0
Subj40,inferExpPartS8,AgrF1.png,3,5,20,Male,4,5,2.5,5.5,4.5,0.8886255924170616,0.01201281746794805,2.298129900098303e-7,6.677391298235535e-4,0.00786023154198142,0.01617704853224295,0,0.00335308753721812,0.00134756285262113,0.00315894109933805,0.00692822407704452,0.00130082216008894,0
Subj40,inferExpPartS8,ExtM2.png,2,5,20,Male,4,5,2.5,5.5,4.5,0.8056872037914692,4.523302219917878e-4,0.00107192153399001,1.501990980088628e-4,4.238862224080199e-4,0.01218161413894565,0,0.00160293513786636,0.00116682054353994,9.491787320598824e-4,0.00262315789543633,0.00297816796060637,0
Subj40,inferExpPartS8,ConF3.png,5,5,20,Male,4,5,2.5,5.5,4.5,0.9502369668246444,0.01776913858354633,0.00199331508135178,3.8186427904818586e-4,0.00565605364311926,0.01015406598791085,0,0.00355894492272601,0.0023823763349641,0.00262516014128655,0.00460561996598294,0.00110030515191306,0
Subj40,inferExpPartS8,NeuM4.png,5,6,20,Male,4,5,2.5,5.5,4.5,1,0.00132537594974664,0.00147233877998049,4.244687746858572e-5,0.01388537153579822,0.01080892109549127,0,0.00223387811535535,0.00200470241631217,0.00157967162795837,0.00975677719987994,4.512273994516725e-4,0
Subj40,inferExpPartS8,OpeF3.png,5,6,20,Male,4,5,2.5,5.5,4.5,1,0.00358723096282494,1.4573547297529297e-5,0.00595608269772989,0.0294999735698477,0.00414805627309952,0,0.00784492309646145,0.00144276585240873,0.00414817836295214,0.00546148949313787,1.586907175087724e-4,0
Subj40,inferExpPartS8,NeuF4.png,5,6,20,Male,4,5,2.5,5.5,4.5,1,0.0414096226256354,0.00162416768580273,0.00192002374593474,0.02679113788535759,0.00240944582847102,0,0.00361136231571555,0.00251085604917834,0.00417977941430284,0.00398612302436254,8.608265159515321e-5,0
Subj40,inferExpPartS8,NeuF3.png,6,6,20,Male,4,5,2.5,5.5,4.5,1,0.03382052005105271,0.00212132832158754,1.969926952795232e-4,0.01860855863229575,0.00813818381861898,0,0.0025267186102082,0.00437413874374387,0.00433469094425377,0.01237216504190356,5.29999979204309e-4,0
Subj41,inferExpPartS12,OpeF2.png,2,5,20,Female,6,6,6.5,4.5,3.5,1,0.00599488005785915,0.00388362898922239,0.00423676288083162,0.00884655848715972,0.00364831562754729,0,0.01021612113292606,0.00114847953982919,0.00142659360867737,0.00146934147474999,9.65124494386968e-4,3.4902563652216557e-6
